카테고리	유전질환명	disease
신경근육계	갤로웨이 모와트 증후군	Galloway-Mowat syndrome
신경근육계	소뇌증, 관절구축증, 뇌구조 이상을 동반한 신경발달장애 	Neurodevelopmental disorder with microcephaly, arthrogryposis and structural brain anomalies
신경근육계	미첼 증후군/과산화소체 acyl-CoA 산화효소 결핍증 	Mitchell syndrome/Peroxisomal acyl-CoA oxidase deficiency
신경근육계	발달 및 뇌전증 뇌병증 9번 	Developmental and epileptic encephalopathy 9
신경근육계	EXOSC9연관 소뇌형성부전	EXOSC9-related Pontocerebellar hypoplasia
신경근육계	LAMC3-연관 대뇌피질기형	LAMC3-related cortical malformations
신경근육계	소뇌성 운동실조, 지적 장애 및 균형장애 증후군 4형	Cerebellar ataxia, impaired intellectual development, and dysequilibrium syndrome 4
신경근육계	우발적 운동실조 2형	Episodic ataxia type 2
신요로계	다낭성 신장병	Polycystic kidney  disease
신요로계	선천성 핀란드형 신증후군	Congenita l Finnish nephrosis
신요로계	HLRCC 신장암	Hereditary  Leiomyomatosis and Renal Cell Cancer
신요로계	신세뇨관 발생이상	Renal tubular dysgenesis
신요로계	신장 이형성/무형성증	Renal hypodysplasia/aplasia 3
안과계	망막세포변성	Retinitis pigmentosa
안과계	망막아세포증	Retinoblastoma
안과계	망막층간분리	Retinoschisis
안과계	맥락막 결손	Choroideremia
안과계	레베르 선천성 흑암시	Leber retinal  congenital amaurosis
안과계	베스트병	Best disease, Vitelliform macular dystrophy
안과계	노리병	Norrie disease
안과계	시신경위축	Optic atrophy
안과계	무홍채증	Aniridia
안과계	아벨리노 각막이상증, 동형접합	Avellino corneal dystrophy, homozygous
안과계	스타가르트병	Stargardt disease
안과계	외안근 섬유화증	Fibrosis of  Extraoccular Muscles
안과계	원뿔세포 이영양증	Cone-rod dystrophy
외피계	표피 수포증	Epidermolysis bullosa
외피계	발한저하성 외배엽이형성증	Hypohidrotic ectodermal dysplasia
외피계	표피박리 각화다과증	Epidermolytic  hyperkeratosis
외피계	X-연관 어린선: 스테로이드 설파타제 결핍증	X-linked ichthyosis: Steroid sulfatase deficiency
외피계	선천성 어린선	Congenital harlequin ichthyosis
외피계	TERT-연관 선천성 각화이상증	TERT-related dyskeratosis congenita
이비인후과계	유전성 청각장애	Hereditary deafness
이비인후과계	상염색체열성 난청 12형/어셔증후군 1D형	Deafness, autosomal recssive-12/Usher syndrome type 1D
혈액계	혈우병	Haemophilia
혈액계	겸상 적혈구빈혈	Sickle cell anemia
혈액계	베타-지중해빈혈	β-thalassemia
혈액계	알파-지중해빈혈	α-thalassemia
혈액계	선천성 호중구 감소증	Congenital neutropenia
혈액계	유전성 출혈성 모세혈관확장	Hereditary hemorrhagic telangiectasia
혈액계	혈구탐식성 림프조직구증	Hemophagocytic lymphohistiocytosis
혈액계	폰 빌레브란트병	Von Willebrand disease
혈액계	X-연관 림프증식성 질환	X-linked lymphoproliferative disease
혈액계	C 단백결핍 질환	Protein C Deficiency
경과규정적용	지속성 고인슐린혈증에 의한 영아기 저혈당증 	Persistent hyperinsulinemic hypoglycemia of infancy
경과규정적용	선천성 손발톱 비대증	Pachyonychia congenita
